Message Id,By Person Name,Content Type,Datetime,disAsSpecCat,disComSpecCat,Post Link,totalAngry,totalLike,totalLove,divScore,polPen,disAs,disCom,subAgree,totalSad,totalShares,totalComments,totalReactions
58_med_nz_,Newstalk ZB,Null,9/14/17 10:34:00 PM,hDisCom_hSubAgree,,http://www.newstalkzb.co.nz/news/north-korea-fires-another-missile/,8,3,0,0.332695637,0.666666667,0.498931405,,0.583663400,2,0,7,17
61_med_nz_,Newstalk ZB,pol,9/14/17 6:35:41 AM,,hDisCom_lSubAgree,http://www.newstalkzb.co.nz/on-air/larry-williams-drive/audio/robertson-says-tax-decision-made-by-ardern/,1,29,4,0.744597392,0.811764706,,0.539286447,0.293532004,0,2,43,49
62_med_nz_,Newstalk ZB,non-pol,9/14/17 3:14:14 AM,lDisCom_lSubAgree,hDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/crime/synth-linked-to-three-more-deaths-around-20-cases-now-with-coroner/,3,7,0,0.676700936,0.772727273,0.102123866,0.291753187,0.437737197,8,7,22,26
64_med_nz_,Newstalk ZB,Null,9/14/17 1:52:09 AM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/entertainment/did-two-nz-reality-stars-just-get-engaged/,0,14,0,0.548260882,0.866666667,,0.344382443,0.502536231,0,0,16,16
66_med_nz_,Newstalk ZB,Null,9/14/17 1:23:37 AM,lDisCom_hSubAgree,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/national/woman-collapses-on-street-people-walk-on-by/,6,17,0,0.715269373,0.786666667,0.118492957,0.180352121,0.636840467,28,7,18,58
70_med_nz_,Newstalk ZB,Null,9/13/17 3:31:19 AM,lDisCom_hSubAgree,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/education/warning-that-teachers-shortage-is-now-at-crisis-level/,8,21,0,0.893124384,0.696428571,0.191056109,0.106055541,0.543023177,1,9,31,33
74_med_nz_,Newstalk ZB,Null,9/11/17 7:57:00 PM,,,http://www.newstalkzb.co.nz/news/world/hundreds-of-children-found-in-mass-grave-in-scotland/,1,2,1,0.546866624,0.785714286,0.608859640,,,17,1,6,22
78_med_nz_,Newstalk ZB,Null,9/11/17 12:13:00 AM,lDisCom_hSubAgree,,http://www.newstalkzb.co.nz/news/world/faces-of-heroes-harrowing-9-11-photos/,1,15,0,0.563315961,0.666666667,0.160858851,,0.540875221,21,8,4,37
82_med_nz_,Newstalk ZB,Null,9/10/17 7:10:01 PM,,lDisCom_lSubAgree,https://www.facebook.com/newstalkzb/photos/a.777366735639877.1073741826.171762839533606/1488664031176807/?type=3,0,25,0,0.549077582,0.714285714,,0.208702253,0.233364576,2,0,31,27
83_med_nz_,Newstalk ZB,Null,9/9/17 10:17:57 PM,hDisCom_hSubAgree,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/national/sir-peter-blakes-killer-speaks-out/,22,9,0,0.443428957,0.698113208,0.518086682,0.425334268,0.545685808,6,2,21,37
84_med_nz_,Newstalk ZB,Null,9/9/17 1:44:51 AM,lDisCom_lSubAgree,lDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/christchurch/decision-made-christchurch-cathedral-to-be-reinstated/,27,315,49,0.524029319,0.594961240,0.134903115,0.108333820,0.392253560,2,35,159,401
88_med_nz_,Newstalk ZB,non-pol,9/8/17 7:17:07 AM,,,http://bit.ly/2xTk8u0,0,1,0,0.715153439,0.846153846,0.569518124,,,9,1,1,13
89_med_nz_,Newstalk ZB,Null,9/8/17 6:26:12 AM,,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/on-demand/audio/listen-tvnz-multi-party-leaders-debate/,1,9,0,0.405489688,0.85,,0.110226604,0.494104890,1,1,12,12
90_med_nz_,Newstalk ZB,pol,9/8/17 4:16:38 AM,hDisCom_hSubAgree,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/auckland/national-party-offers-to-stump-up-for-billion-dollar-highway/,8,53,2,0.466675233,0.861702128,0.864373676,0.511172756,0.483150259,0,3,24,78
93_med_nz_,Newstalk ZB,Null,9/7/17 8:50:33 AM,hDisCom_hSubAgree,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/politics/court-rejects-top-party-bid-to-be-included-in-tvnz-debate/,15,26,1,0.593498505,0.772727273,0.661746014,0.389316578,0.565517866,3,1,58,64
94_med_nz_,Newstalk ZB,Null,9/7/17 7:12:37 AM,lDisCom_lSubAgree,hDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/health/northland-doctor-people-are-dying-from-lack-of-funding/,9,17,0,0.998800200,0.836363636,0.170346783,0.602160187,0.262547776,4,14,26,34
96_med_nz_,Newstalk ZB,Null,9/7/17 3:42:18 AM,,hDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/politics/wagner-carries-away-english-protester/,3,71,7,0.399286003,0.884297521,,0.393644095,0.191594333,0,4,36,96
100_med_nz_,Newstalk ZB,Null,9/6/17 8:54:36 AM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/on-air/larry-williams-drive/audio/shane-te-pou-i-want-the-statue-removed-to-a-museum/,5,8,0,0.633712523,0.730769231,,0.339288798,0.548881440,0,1,15,15
101_med_nz_,Newstalk ZB,Null,9/6/17 8:36:19 AM,hDisCom_hSubAgree,,http://www.newstalkzb.co.nz/news/hurricane-irma-hits-caribbean-coast-with-300km-h-winds/,0,13,0,0.578952312,0.64,0.354579942,,0.549966460,13,15,4,47
108_med_nz_,Newstalk ZB,Null,9/4/17 6:30:23 PM,,hDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/world/kim-jong-un-begging-for-war/,2,12,0,0.802264225,0.686274510,,0.641934677,0.393442642,0,2,30,27
109_med_nz_,Newstalk ZB,Null,9/4/17 1:12:26 AM,lDisCom_lSubAgree,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1482070988502778/,13,9,1,0.514683449,0.690476190,0.212438964,0.351667049,0.287829953,2,4,15,29
111_med_nz_,Newstalk ZB,Null,9/1/17 4:39:39 AM,,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/national/john-banks-loses-paternity-case/,0,54,0,0.722060287,0.809523810,,0.152623023,0.597260108,0,8,45,93
128_med_nz_,Newstalk ZB,pol,8/25/17 12:51:15 AM,hDisCom_lSubAgree,hDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/national/metiria-turei-and-barnaby-joyce-lead-nzer-of-the-year-nominations/,23,32,2,0.508794391,0.822368421,0.597432725,0.703653150,0.230675572,1,11,60,103
136_med_nz_,Newstalk ZB,Null,8/20/17 7:02:37 PM,,,http://www.newstalkzb.co.nz/news/entertainment/comedian-jerry-lewis-dies-aged-91/,0,12,1,0.529031302,0.702702703,0.148951058,,,20,1,6,34
143_med_nz_,Newstalk ZB,Null,8/15/17 9:12:00 PM,,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/world/both-sides-to-blame-for-charlottesville-violence-trump-says/,3,7,1,0.346447205,0.741935484,,0.176821111,0.714328360,0,0,22,11
155_med_nz_,Newstalk ZB,proto-pol,8/2/17 11:12:46 PM,lDisCom_lSubAgree,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1453233658053178/,16,5,0,0.895465151,0.621621622,0.132837582,0.383556823,0.423983018,4,0,12,27
161_med_nz_,Newstalk ZB,Null,7/31/17 10:24:37 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1451474011562476/,0,26,1,0.687875727,0.8,,0.309763787,0.693401550,1,6,65,31
165_med_nz_,Newstalk ZB,Null,7/27/17 11:23:19 PM,lDisCom_hSubAgree,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1447953875247823/,4,24,2,0.697459805,0.670329670,0.021943549,0.355874559,0.548703729,17,36,41,52
172_med_nz_,Newstalk ZB,Null,7/19/17 9:33:00 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1439821916061019/,0,13,0,0.616613129,0.545454545,,0.252546006,0.803063482,0,0,22,13
173_med_nz_,Newstalk ZB,Null,7/19/17 4:44:10 AM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/politics/poll-nz-first-wins-favour-as-coalition-partner/,0,26,3,0.269579610,0.897959184,,0.309148305,0.464793029,0,4,24,32
174_med_nz_,Newstalk ZB,Null,7/18/17 6:22:06 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1438804312829446/,9,76,1,0.557456909,0.53125,,0.251444795,0.552963567,0,5,74,96
182_med_nz_,Newstalk ZB,Null,7/13/17 8:06:00 AM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1432839170092627/,0,44,2,0.695036246,0.368932039,,0.330245531,0.757878328,4,14,48,61
184_med_nz_,Newstalk ZB,Null,7/13/17 12:40:41 AM,,hDisCom_lSubAgree,http://www.newstalkzb.co.nz/news/politics/david-seymour-posts-act-branded-condom-to-snapchat/,0,29,3,0.669738923,0.769230769,,0.587468338,0.292106314,0,4,22,62
185_med_nz_,Newstalk ZB,Null,7/12/17 11:13:32 PM,,lDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1432772770099267/,0,15,1,0.755821365,0.710526316,,0.132008250,0.503462616,1,13,14,27
188_med_nz_,Newstalk ZB,Null,7/10/17 10:58:00 PM,,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/national/boy-racer-loses-job-flat-now-fears-for-his-life/,2,69,1,0.614883007,0.547826087,,0.148219335,0.543429852,0,11,110,135
194_med_nz_,Newstalk ZB,non-pol,7/7/17 10:01:36 PM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/on-air/saturday-morning-with-jack-tame/audio/heather-du-plessis-allan-worrying-about-a-lions-win/,0,11,0,0.336164182,0.695652174,,0.351558853,0.550428214,0,0,14,13
203_med_nz_,Newstalk ZB,Null,7/2/17 9:46:13 PM,lDisCom_hSubAgree,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/petition-against-school-possum-hunts-launched-after-baby-possum-drownings/,120,38,1,0.996216260,0.577464789,0.192301653,0.248270117,0.627944000,36,7,89,217
206_med_nz_,Newstalk ZB,Null,7/1/17 8:32:47 AM,lDisCom_hSubAgree,lDisCom_hSubAgree,https://www.facebook.com/newstalkzb/photos/a.180882688621621.36976.171762839533606/1420515924658285/?type=3,11,107,1,0.581465760,0.547101449,0.095385992,0.190786424,0.682111751,5,51,98,192
210_med_nz_,Newstalk ZB,Null,6/28/17 7:21:00 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1417251544984723/,1,46,1,0.598344979,0.6625,,0.415493786,0.547540151,0,6,36,48
216_med_nz_,Newstalk ZB,Null,6/26/17 5:33:50 PM,,,https://www.facebook.com/newstalkzb/photos/a.180882688621621.36976.171762839533606/1415026298540581/?type=3,0,872,144,0.439821568,0.438095238,,0.341882633,,0,440,46,"1,033"
225_med_nz_,Newstalk ZB,Null,6/19/17 8:32:54 PM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/on-air/early-edition/audio/gavin-grey-fears-more-muslims-could-be-targeted-after-london-mosque-attack/,1,6,0,0.773951766,0.739130435,,0.374592688,0.640167484,4,1,14,12
236_med_nz_,Newstalk ZB,Null,6/11/17 8:59:00 PM,,lDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1401076809935530/,0,38,4,0.605841143,0.693548387,,0.137075581,0.785742439,0,7,24,43
242_med_nz_,Newstalk ZB,Null,6/9/17 1:36:28 AM,lDisCom_hSubAgree,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/national/murderer-phillip-john-smith-wins-hairpiece-court-case/,209,26,1,0.563877076,0.550827423,0.233033808,0.195060067,0.539013972,3,18,197,261
248_med_nz_,Newstalk ZB,Null,6/5/17 3:00:00 AM,,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1393922660650945/,3,108,6,0.339701689,0.810457516,,0.709107423,0.314604963,0,6,38,128
253_med_nz_,Newstalk ZB,Null,6/3/17 9:57:40 PM,hDisCom_hSubAgree,,http://www.newstalkzb.co.nz/news/world/reports-of-terror-attack-on-london-bridge/,19,7,0,0.706892277,0.593220339,0.387907731,,0.689258459,24,14,7,52
264_med_nz_,Newstalk ZB,Null,5/30/17 7:14:21 PM,,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1388949027814975/,0,22,0,0.538962246,0.8125,,0.501063289,0.429395017,0,0,11,24
270_med_nz_,Newstalk ZB,Null,5/29/17 7:06:00 AM,,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/national/auckland-council-rejects-petition-asking-it-not-to-cut-library-jobs/,2,8,0,0.505962268,0.724137931,,0.196455623,0.514083655,5,4,15,15
272_med_nz_,Newstalk ZB,Null,5/28/17 8:35:00 PM,,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/on-air/early-edition/audio/kim-prance-call-to-make-school-uniforms-gender-neutral-welcomed/,5,20,1,0.866564091,0.666666667,,0.165356790,0.544676218,1,2,39,36
273_med_nz_,Newstalk ZB,Null,5/28/17 7:38:12 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1387353184641226/,2,19,1,0.517100722,0.868421053,,0.726522907,0.464038421,0,4,15,23
274_med_nz_,Newstalk ZB,Null,5/26/17 10:20:00 PM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/on-air/saturday-morning-with-jack-tame/opinion/jack-tame-living-a-minimalist-life/,1,105,8,0.681623761,0.773722628,,0.239267070,0.605371155,0,11,37,116
282_med_nz_,Newstalk ZB,Null,5/25/17 3:45:00 AM,,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1384067048303173/,0,18,1,0.792796322,0.864864865,,0.806203577,0.330425248,0,1,17,24
286_med_nz_,Newstalk ZB,Null,5/23/17 7:13:02 PM,,,https://www.facebook.com/newstalkzb/videos/1382956825080862/,0,1,2,0.557919740,0.647058824,0.713347035,,,13,1,1,16
290_med_nz_,Newstalk ZB,Null,5/20/17 10:44:49 PM,,lDisCom_hSubAgree,https://www.facebook.com/princeharryfanspage/photos/a.720075508038871.1073741882.161454230567671/1446192875427127/?type=3,0,968,142,0.455283697,0.249568221,,0.124882695,0.755753491,0,0,61,"1,128"
293_med_nz_,Newstalk ZB,Null,5/19/17 6:08:29 AM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/on-air/larry-williams-drive/audio/gareth-morgan-prohibition-of-marijuana-doesnt-work/,0,19,1,0.958185765,0.631578947,,0.433468337,0.773663547,0,3,18,22
296_med_nz_,Newstalk ZB,Null,5/18/17 6:56:49 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1379006375475907/,0,35,0,0.565299065,0.741379310,,0.401464766,0.576322768,0,7,29,35
299_med_nz_,Newstalk ZB,Null,5/17/17 9:53:17 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/photos/a.180882688621621.36976.171762839533606/1378290108880867/?type=3,2,34,0,0.920916494,0.634615385,,0.279363528,0.622311384,0,0,22,36
304_med_nz_,Newstalk ZB,Null,5/14/17 6:58:00 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1375726182470593/,1,16,0,0.872224171,0.805555556,,0.442177296,0.584074464,0,0,21,17
316_med_nz_,Newstalk ZB,non-pol,5/3/17 6:48:13 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/photos/a.180882688621621.36976.171762839533606/1366579340051944/?type=3,9,11,0,0.483409697,0.480519481,,0.485135403,0.534822741,0,2,59,23
321_med_nz_,Newstalk ZB,pol,5/1/17 7:28:06 PM,hDisCom_lSubAgree,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1364928626883682/,20,103,5,0.737085281,0.842342342,0.872835965,0.783872503,0.367845607,1,13,97,142
338_med_nz_,Newstalk ZB,Null,4/18/17 11:22:21 PM,hDisCom_lSubAgree,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/photos/a.180882688621621.36976.171762839533606/1353680604675151/?type=3,13,10,0,0.903318781,0.731707317,0.526747002,0.422980531,0.374883415,0,0,22,25
350_med_nz_,Newstalk ZB,pol,4/9/17 9:47:08 PM,hDisCom_hSubAgree,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1344229282286950/,5,16,1,0.784783571,0.926829268,0.851774599,0.656230102,0.502369475,2,1,20,24
356_med_nz_,Newstalk ZB,pol,4/6/17 7:24:51 PM,,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1341098955933316/,0,14,0,0.726762446,0.863636364,,0.800859266,0.378556169,0,0,9,14
359_med_nz_,Newstalk ZB,Null,4/5/17 7:14:05 PM,,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1340085502701328/,1,17,0,0.798958250,0.882352941,,0.391955172,0.364389458,0,1,14,21
361_med_nz_,Newstalk ZB,Null,4/5/17 1:30:28 AM,,,https://www.facebook.com/newstalkzb/photos/a.1339164539460091.1073741829.171762839533606/1339401422769736/?type=3,0,45,1,0.818076797,0.333333333,,0.059131914,,19,119,82,108
371_med_nz_,Newstalk ZB,Null,4/3/17 7:17:05 PM,,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1338142479562297/,0,122,6,0.386123091,0.755102041,,0.579918452,0.320469601,0,8,27,128
373_med_nz_,Newstalk ZB,Null,4/2/17 8:04:00 PM,lDisCom_hSubAgree,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/on-air/early-edition/opinion/rachel-smalley-shell-be-right-attitude-aids-in-simplicity-of-art-theft/,2,16,0,0.645215419,0.729729730,0.235871158,0.200595311,0.738169256,8,2,11,29
381_med_nz_,Newstalk ZB,Null,3/29/17 6:51:31 PM,,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1333443360032209/,0,25,0,0.613371103,0.846153846,,0.416607803,0.281873821,0,0,15,25
383_med_nz_,Newstalk ZB,Null,3/28/17 11:29:59 PM,,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/videos/1332824406760771/,0,58,2,0.377488635,0.870967742,,0.532753377,0.293516367,0,3,38,60
385_med_nz_,Newstalk ZB,Null,3/28/17 9:06:40 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1332713500105195/,1,31,1,0.591414639,0.760869565,,0.566771732,0.477494121,1,4,12,37
390_med_nz_,Newstalk ZB,Null,3/26/17 8:41:18 PM,hDisCom_hSubAgree,lDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/world/trump-to-undo-obama-climate-plan/,17,28,4,0.484536799,0.632352941,0.432966345,0.084741785,0.499145430,0,1,23,55
402_med_nz_,Newstalk ZB,Null,3/21/17 10:02:24 PM,,hDisCom_lSubAgree,https://www.facebook.com/newstalkzb/photos/a.180882688621621.36976.171762839533606/1326470217396190/?type=3,4,6,2,0.621591099,0.653846154,,0.392958249,0.214380326,1,0,41,14
416_med_nz_,Newstalk ZB,non-pol,3/16/17 11:44:59 PM,hDisCom_hSubAgree,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1322410114468867/,21,10,0,0.495558026,0.566666667,0.482722610,0.305437370,0.543448310,4,2,26,36
432_med_nz_,Newstalk ZB,Null,3/13/17 7:32:52 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1319690088074203/,0,13,1,0.576633230,0.954545455,,0.818137107,0.512734275,0,0,8,14
434_med_nz_,Newstalk ZB,Null,3/12/17 10:40:10 PM,lDisCom_hSubAgree,,https://www.facebook.com/newstalkzb/photos/a.180882688621621.36976.171762839533606/1318949961481549/?type=3,1,"1,723",154,0.781580396,0.392640693,0.115998517,,0.696959904,420,204,28,"2,301"
450_med_nz_,Newstalk ZB,Null,3/6/17 6:21:00 PM,,lDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1311199205589958/,1,12,0,0.757772486,0.9,,0.193324016,0.566387765,1,3,20,14
452_med_nz_,Newstalk ZB,Null,3/6/17 3:23:34 AM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/news/national/superannuation-age-to-rise-to-67/,5,23,1,0.379832163,0.673913043,,0.481169363,0.554567678,0,2,20,29
453_med_nz_,Newstalk ZB,Null,3/6/17 1:02:00 AM,,hDisCom_hSubAgree,http://www.newstalkzb.co.nz/on-air/early-edition/opinion/rachel-smalley-retirement-age-should-go-up-it-has-to/,0,15,0,0.486534583,0.743589744,,0.394224776,0.568577739,0,0,28,15
463_med_nz_,Newstalk ZB,Null,3/1/17 8:53:50 PM,hDisCom_lSubAgree,lDisCom_lSubAgree,https://www.facebook.com/newstalkzb/photos/a.180882688621621.36976.171762839533606/1306815509361661/?type=3,11,18,1,0.505306610,0.563218391,0.302324774,0.075070019,0.444963798,2,2,64,33
468_med_nz_,Newstalk ZB,Null,2/27/17 6:12:29 PM,,hDisCom_hSubAgree,https://www.facebook.com/newstalkzb/videos/1304911829552029/,0,16,0,0.546187956,0.785714286,,0.834521295,0.455008401,0,1,12,16
